timestamp,kind,tx,ok,rssi,phase,payload
0,Ack,true,,,,
189,Ack,false,true,-42,3541,0000000000000000
290,QueryAdjust,true,,,,
342,QueryAdjust,false,false,-65.5,,
448,QueryAdjust,true,,,,
500,QueryAdjust,false,false,-84.5,,
931,Query,true,,,,
1125,Query,false,false,-66.5,,
1244,QueryAdjust,true,,,,
1439,QueryAdjust,false,false,-66.5,,
2435,Query,true,,,,
2954,Query,false,false,-78.5,,
3295,QueryAdjust,true,,,,
3811,QueryAdjust,false,false,-78,,
4876,Query,true,,,,
6334,Query,false,false,-94.5,,
6674,QueryAdjust,true,,,,
8132,QueryAdjust,false,false,-95.5,,
8498,Query,true,,,,
8564,Query,false,true,-41.5,3525,00000FCB
8743,Ack,true,,,,
8932,Ack,false,true,-42,3542,0000000000000000
9033,QueryAdjust,true,,,,
9085,QueryAdjust,false,false,-65.5,,
9191,QueryAdjust,true,,,,
9243,QueryAdjust,false,false,-84.5,,
9664,Query,true,,,,
9860,Query,false,false,-66.5,,
9979,QueryAdjust,true,,,,
10173,QueryAdjust,false,false,-66.5,,
11105,Query,true,,,,
11627,Query,false,false,-78.5,,
11968,QueryAdjust,true,,,,
12514,QueryAdjust,false,false,-78.5,,
13557,Query,true,,,,
15021,Query,false,false,-95,,
15362,QueryAdjust,true,,,,
16685,QueryAdjust,false,false,-95.5,,
17061,Query,true,,,,
17127,Query,false,true,-41.5,3551,0000D4B5
17306,Ack,true,,,,
17495,Ack,false,true,-42,3550,0000000000000000
17596,QueryAdjust,true,,,,
17648,QueryAdjust,false,false,-65.5,,
17754,QueryAdjust,true,,,,
17806,QueryAdjust,false,false,-84,,
18237,Query,true,,,,
18431,Query,false,false,-66.5,,
18549,QueryAdjust,true,,,,
18746,QueryAdjust,false,false,-66.5,,
19742,Query,true,,,,
20302,Query,false,false,-78.5,,
20643,QueryAdjust,true,,,,
21200,QueryAdjust,false,false,-78.5,,
22267,Query,true,,,,
23727,Query,false,false,-95.5,,
24068,QueryAdjust,true,,,,
25376,QueryAdjust,false,false,-96.5,,
25754,Query,true,,,,
25820,Query,false,true,-41,3560,000037EE
26006,Ack,true,,,,
26195,Ack,false,true,-42,3552,0000000000000000
26296,QueryAdjust,true,,,,
26348,QueryAdjust,false,false,-66.5,,
26454,QueryAdjust,true,,,,
26506,QueryAdjust,false,false,-84.5,,
26929,Query,true,,,,
27125,Query,false,false,-66.5,,
27244,QueryAdjust,true,,,,
27438,QueryAdjust,false,false,-66.5,,
28366,Query,true,,,,
28914,Query,false,false,-79,,
29255,QueryAdjust,true,,,,
29805,QueryAdjust,false,false,-78.5,,
30854,Query,true,,,,
32309,Query,false,false,-95.5,,
32649,QueryAdjust,true,,,,
34104,QueryAdjust,false,false,-95.5,,
34483,Query,true,,,,
34548,Query,false,true,-42,3578,0000E97D
34734,Ack,true,,,,
34923,Ack,false,true,-42,3540,0000000000000000
35024,QueryAdjust,true,,,,
35076,QueryAdjust,false,false,-66.5,,
35182,QueryAdjust,true,,,,
35234,QueryAdjust,false,false,-84,,
35665,Query,true,,,,
35860,Query,false,false,-66.5,,
35978,QueryAdjust,true,,,,
36173,QueryAdjust,false,false,-66.5,,
37165,Query,true,,,,
37725,Query,false,false,-79,,
38065,QueryAdjust,true,,,,
38582,QueryAdjust,false,false,-78.5,,
39646,Query,true,,,,
41092,Query,false,false,-95.5,,
41432,QueryAdjust,true,,,,
47203,Query,true,,,,
48583,Query,false,false,-96,,
48924,QueryAdjust,true,,,,
50316,QueryAdjust,false,false,-95,,
50695,Query,true,,,,
50761,Query,false,true,-42,4010,0000C13B
50937,Ack,true,,,,
51126,Ack,false,true,-42,4000,0000000000000000
51227,QueryAdjust,true,,,,
51279,QueryAdjust,false,false,-65.5,,
51385,QueryAdjust,true,,,,
51437,QueryAdjust,false,false,-84,,
51850,Query,true,,,,
52045,Query,false,false,-66,,
52164,QueryAdjust,true,,,,
52361,QueryAdjust,false,false,-66.5,,
53304,Query,true,,,,
53825,Query,false,false,-78.5,,
54166,QueryAdjust,true,,,,
54684,QueryAdjust,false,false,-78.5,,
55746,Query,true,,,,
57267,Query,false,false,-96,,
57608,QueryAdjust,true,,,,
59059,QueryAdjust,false,false,-95,,
59422,Query,true,,,,
59489,Query,false,true,-41.5,3983,0000968E
59666,Ack,true,,,,
59854,Ack,false,true,-42,3998,0000000000000000
