reader_timestamp,reader_command,tag_timestamp,tag_command,round_trip_us
10740454,QueryAdjust,10740691,Select,237
10748055,Query,10748064,Query,9
10757936,QueryAdjust,10757971,QueryAdjust,35
10763228,QueryAdjust,10763427,Select,199
10767198,QueryAdjust,10767421,Select,223
10771183,QueryAdjust,10771657,Select,474
10776492,QueryAdjust,10776834,Select,342
10779023,Query,10779153,QueryAdjust,130
10803447,QueryAdjust,10803880,Select,433
10807506,QueryAdjust,10807854,Select,348
10814935,Query,10815241,QueryAdjust,306
10830362,QueryAdjust,10830859,Select,497
10834509,QueryAdjust,10834785,Select,276
10843840,QueryAdjust,10844068,Select,228
10847898,QueryAdjust,10848108,Select,210
10851901,QueryAdjust,10852383,Select,482
10857300,QueryAdjust,10857448,Select,148
10861179,QueryAdjust,10861406,Select,227
10868605,Query,10868725,QueryAdjust,120
10870464,QueryAdjust,10870944,Select,480
10874485,QueryAdjust,10874926,Select,441
10883958,QueryAdjust,10884225,Select,267
10887767,Query,10888194,Select,427
10888116,QueryAdjust,10888194,Select,78
10892020,QueryAdjust,10892454,Select,434
10897492,QueryAdjust,10897722,Query,230
10901278,Query,10901421,Select,143
10905564,QueryAdjust,10905628,Select,64
10911063,QueryAdjust,10911075,QueryAdjust,12
10915141,QueryAdjust,10915626,Query,485
10947821,QueryAdjust,10948172,Select,351
10955239,Query,10955504,QueryAdjust,265
10961134,QueryAdjust,10961625,Select,491
10970662,QueryAdjust,10971141,Select,479
10974678,QueryAdjust,10975116,Select,438
10982190,Query,10982430,QueryAdjust,240
10984208,QueryAdjust,10984652,Select,444
10988347,QueryAdjust,10988615,Select,268
10997869,QueryAdjust,10997946,Query,77
11005934,QueryAdjust,11005936,Select,2
11011401,QueryAdjust,11011437,Query,36
11024993,QueryAdjust,11025421,Select,428
11027710,QueryAdjust,11028209,Select,499
11028794,Query,11029178,Query,384
11029140,QueryAdjust,11029178,Query,38
11032221,Query,11032556,Select,335
11033106,QueryAdjust,11033595,Query,489
11038601,QueryAdjust,11038780,Select,179
11041147,Query,11041529,Select,382
11041305,QueryAdjust,11041529,Select,224
11042365,Query,11042438,Query,73
11046691,QueryAdjust,11046729,Query,38
11052018,QueryAdjust,11052036,Select,18
11054561,Query,11054846,Select,285
